Название,ID,Детальная картинка,Детальное описание,Минимальная цена,Рейтинг
"Домкрат 4 т. двухштоковый (мин.160 мм., макс.385 мм.) БАК.20041",12534,http://agregatekb.ru/upload/iblock/c77/c773eb537edf468120dd074fa10a22c0.png,"Домкрат 4 т. двухштоковый (мин.160 мм., макс.385 мм.) БАК.20041",1840,
"Генератор 6582.3701-04 (поликлиновой шкив), 28В/80А, для а/м Камского автозавода мод. -53215,-55111,-65115 (Прамо)",12535,http://agregatekb.ru/upload/iblock/aef/aef27c4bbc011c17136d1a9b8de3ae88.png,"Характеристики: Длина: 0.24 м Ширина: 0.2 м Высота: 0.18 м Вес: 9.73 кг Объем: 0.00864 кг Аналоги: 3142.3771, 3142.3771-01, 4001.3771-53 Применение: автомобили Камского автозавода, модели -53215, -55111, -65115",6810,
740-1307010-02 Насос водяной для а/м Камского автозавода (ПЕКАР),12537,http://agregatekb.ru/upload/iblock/5de/5de7c8aa46c87ea646f40e777bebb5b9.jpg,"Каталожный номер PEKAR: 740-1307010-02 Номер OEM: 740-1307010-02 Конструкция: Чугунная крыльчатка. Материал корпуса - чугун. Сальник - металло-керамический. Подшипник - двухрядный шарико-роликовый Вес, кг.: 8,6 Габаритные размеры, м.: 0,223х0,203х0,189 Комплектность: уплотнительное кольцо - 2 шт Применяемость: автомобили Камского автозавода моделей 4310, 43105, 43114, 43118, 4326, 43505, 5315, 5325, 5320, 53212, 5410, 54112, 55102, 5511, 5320, 53228, 65111, 53228; автобусы ЛИАЗ 5256, 6212 с двигателем 7403.10-260, 740.14-300 (ЕВРО-0), 740.11-240 (ЕВРО-1)",5250,
5480А-1301010 Радиатор водяной алюминиевый 2-х рядный для а/м Камского автозавода мод. -5480 и мод. (ШААЗ),12538,http://agregatekb.ru/upload/iblock/0e2/0e2c10361c37a882f8c7a334e2d95e95.jpg,"Наименование: 5480А-1301010 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 215 (184900) Емкость, л: 7 Габариты (д*ш*в), мм: 696х163,5х1146 Масса, кг: 26 Применяемость: автомобили Камского автозавода Модели: -6522, -6560, -7330, с двигателем 740, с двигателем Cummins Дополнительно: -65221, 65222, 65224, 6560 с двигателем 740.37-400, 740.63-400 -65224, 6560, 65221, 65222, 6522 с двигателем 740.632-400, 750.13-400 - 6560 с двигателем 740.37-400 - 7330 (10×4 кран) с двигателем Cummins 6ISLe 400",30591,3.3
Рычаг регулировочный задний правый прямой МАЗ (широкий шлиц) 64221-3501236,12542,http://agregatekb.ru/upload/iblock/dcd/dcd6c6f6215839937ae6bd5df44fdbc7.jpg,Рычаг регулировочный задний правый прямой МАЗ (широкий шлиц) 64221-3501236,722,3.3
"Крестовина 6520-2205025-10 (57х144) Евро-2, а/м Камского автозавода г/п свыше 20 тонн и иномарки (Автомагнат)",12554,http://agregatekb.ru/upload/iblock/01d/01d6692a62cc9d5cfbe85df95148a78b.jpg,"Крестовина 6520-2205025-10 (57х144) Евро-2, а/м Камского автозавода г/п свыше 20 тонн и иномарки",1310,
Комплект п/к СТ-Д24.127 А-1Р1(упаковка 20 шт.) пусковой двигатель ПД-10 (Стапри),12556,http://agregatekb.ru/upload/iblock/484/4849886c977e45463ac57b957d2f889c.jpg,"Комплект п/к СТ-Д24.127А-1Р1 Диаметр, мм: 72,75 Масса, кг: 0,013 Бренд: «Стапри» Кратность поставки, шт.: 20 Применяемость: пусковой двигатель ПД-10У, ПД-10, ПД-10У-1",90,
3302 (АР.2705-8101060) Радиатор отопителя алюм.( 2 ряд.) Газель -Бизнес (d20) АВТОРАД,12562,http://agregatekb.ru/upload/iblock/6bb/6bb485360b5d8ce73642d9677cd53d50.jpg,3302 (АР.2705-8101060) Радиатор отопителя алюм.( 2 ряд.) Газель-Бизнес (d20),690,
Насос перекачки бочковой электрический 220V БАК.00101 (БелАК),12572,http://agregatekb.ru/upload/iblock/388/38834bdb92a6bd7bd1343d36c731eecf.png,"Насос перекачки бочковой электрический Бренд: БелАК Напряжение питания: 220 V Скорость перекачки: 75 л/мин Тип жидкости: дизель, керосин, минеральные масла Длина заборной трубки: 930 мм. Артикул: БАК.00101",5153,
Насос водяной 5269784 ГАЗ-3302 с двигателем CUMMINS ISF 2.8,12573,http://agregatekb.ru/upload/iblock/b67/b6752b70f914af9ec494faf2adc77ca8.jpg,"Насос водяной 5269784 Применение: автомобиль ГАЗ-3302 ""ГАЗель"" с двигателем CUMMINS ISF 2.8 Производитель: Автомагнат",1117,3.2
"451М-1011009-02 Насос масляный, УАЗ до 2008г., ГАЗ после 2008 г. (ПЕКАР)",12592,http://agregatekb.ru/upload/iblock/c67/c67d355a4da3d0fcb4211afea721b2ce.jpg,"Насос масляный УАЗ (до 2008г.), ГАЗ (после 2008 г.) с двигателями УМЗ. Каталожный номер PEKAR: 451М-1011009-02 Номер OEM: 451М-1011009-02 Вес: 1,3 кг Габаритные размеры: 150х105х175 мм Комплектность: прокладка - 2шт., комплект крепежа Применяемость: а/м УАЗ, ГАЗ с двигателем УМЗ",1683,
"Стартер 11.131.675 ЗМЗ-402.10, 4021.10, 4025.10, 4026.10; УМЗ-421, 4215, 4216, Evotech 2.7 (12 В/1,9 кВт) ЭЛТРА",12605,http://agregatekb.ru/upload/iblock/98f/98f69e5e3b43eb73ec7ab1add283bd3a.jpg,"Стартер 11.131.675 предназначен для запуска двигателей ЗМЗ 402.10, 4021.10, 4025.10, 4026.10, двигателей УМЗ 421, 4215, 4216, Evotech 2.7. Номинальное напряжение, В: 12 Номинальная мощность, кВт: 1,9 Параметры шестерни: модуль - 2,5 число зубьев - 9 Направление вращения вала со стороны привода: правое Степень защиты: IP55 Масса стартера, кг, не более: 4,2 Стартер выпускается в климатическом исполнении О по ГОСТ 15150 категории 2 Стартер относится к восстанавливаемым изделиям Стартер выпускается в соответствии с испытательным предписанием QCR 11.131.262",6399,3.3
"Поршнекомплект 820.60-1000128-44 ""Дальнобой"" (Мотордеталь)",12613,http://agregatekb.ru/upload/iblock/cdf/cdfdd61808e181209fb9510ce6da3df8.jpg,"Поршнекомплект 820.60-1000128-44 ""Дальнобой"" Диаметр, мм: 120 Масса, кг: 8,3 Бренд: «Мотордеталь» Применяемость: Двигатели Камского автозавода - 820.60-260; -820.61-260; -820.72-240; -820.73-300",8829,3.02
"Насос водяной 5263374 для ГАЗ, ПАЗ с двигателем CUMMINS ISF 3.8",12618,http://agregatekb.ru/upload/iblock/dc1/dc17b27a455a5c17c79dd3b0766a4857.jpg,"Насос водяной 5263374 Применение: автомобили ГАЗ, автобусы ПАЗ с двигателем CUMMINS ISF 3.8 Производитель: Автомагнат",1148,3.3
"Компрессор для накачки шин  'БОРЕЙ-30' 12V 35 л/мин. (Светодиодный фонарь, компрессор, сумка, 3 доп. адаптера)",12641,http://agregatekb.ru/upload/iblock/b85/b85533ee993323766c5aabef92998736.png,"Компрессор для накачки шин  'БОРЕЙ-30' 12V 35 л/мин. (Светодиодный фонарь, компрессор, сумка)",1831,3.3
"Компрессор для накачки шин  'БОРЕЙ-20' 12V 35 л/мин. (Комплектация: компрессор, сумка, 3 адаптера)",12642,http://agregatekb.ru/upload/iblock/286/2862c6bb176ed1be1c5422aaead806e5.png,"Компрессор для накачки шин  'БОРЕЙ-20' 12V 35 л/мин. (Комплектация: компрессор, сумка, 3 адаптера)",1500,
"Компрессор для накачки шин  'БОРЕЙ-10' 12V 35 л/мин (Комплектация: компрессор, сумка, 3 адаптера)",12643,http://agregatekb.ru/upload/iblock/f42/f424cd1228bb1ed17f8ece3924e505fc.png,"Компрессор для накачки шин  'БОРЕЙ-10' 12V 35 л/мин (Комплектация: компрессор, сумка, 3 адаптера)",1480,
"740.50-1307010 Насос водяной для а/м Камского автозавода -43114, 43118, 4326, 65111, 65116, 65117, 6520, 6522, 65221, 65222 Евро-2 (ПЕКАР)",12656,http://agregatekb.ru/upload/iblock/463/4635118c05cb3bd151b224af7581b2f8.jpg,"Каталожный номер PEKAR: 740.50-1307010 Номер OEM: 740.50-1307010 Конструкция: Чугунная крыльчатка. Материал корпуса - чугун. Сальник - металло-керамический. Подшипник - двухрядный шарико-роликовый Вес, кг.: 5,6 Габаритные размеры, м.: 0,175х0,166х0,15 Комплектность: уплотнительное кольцо - 1 шт Применяемость: автомобили Камского автозавода -43114, 43118, 4326, 65111, 65116, 65117, 6520, 6522, 65221, 65222 с двигателем 740.30-260, 740.31-240, 740.51-320, 740.50-360, 740.55-300 (Евро-2)",4137,3.3
"Набор хомутов ленточных 285 штук, Автомагнат",12680,,Набор хомутов ленточных 285 штук,2965,3.3
Гильза цилиндра 7511.1002021-01 (Мотордеталь),12684,http://agregatekb.ru/upload/iblock/048/0483ce11b0b16ec40a43c457fcde2fdd.jpg,"Гильза цилиндра 7511.1002021-01 Диаметр, мм: 130 Масса, кг: 7,38 Применение: двигатели ЯМЗ-236БЕ2 (до 2008 года), ЯМЗ-236БЕ2-1 (до 2008 года), ЯМЗ-236НЕ2 (до 2008 года), ЯМЗ-236НЕ2-1 (до 2008 года), ЯМЗ-236НЕ2-5 (до 2008 года), ЯМЗ-240БМ, ЯМЗ-240БМ2-4, ЯМЗ-240М2, ЯМЗ-240НМ2, ЯМЗ-240ПМ2, ЯМЗ-7511.10-02 (до 2008 года), ЯМЗ-7511.10-06 (до 2008 года), ЯМЗ-7511.10-10 (до 2008 года), ЯМЗ-7511.10-16 (до 2008 года), ЯМЗ-7511.10-18 (до 2008 года), ЯМЗ-7511.10-20 (до 2008 года), ЯМЗ-7511.10-23 (до 2008 года), ЯМЗ-7511.10-26 (до 2008 года), ЯМЗ-7511.10-27 (до 2008 года), ЯМЗ-7512.10 (до 2008 года), ЯМЗ-7513.10-01 (до 2008 года), ЯМЗ-7514.10 (до 2008 года), ЯМЗ-7514.10-02 (до 2008 года), ЯМЗ-7601.10 (до 2008 года) Производитель: Мотордеталь",1745,
ФТОТ (фильтр тонкой очистки топлива) 740-1117010,12703,http://agregatekb.ru/upload/iblock/8a5/8a5af563758f99871975374600b7b540.jpg,ФТОТ (фильтр тонкой очистки топлива) 740-1117010,963,3.3
"Фильтр масляный 3105-1017010 Волга, Газель,УАЗ (аналог: ФМ-305.36) Автомагнат",12706,,"Фильтр масляный 3105-1017010 Аналог: ФМ-305.36 Бренд: Автомагнат Применение: Волга, Газель, УАЗ и другая техника с двигателями ЗМЗ-406, УМЗ-420, УМЗ-4213",150,
Рычаг регулировочный передний 64700011016 для а/м Камского автозавода (аналог 5320-3501136) SORL,12744,http://agregatekb.ru/upload/iblock/447/4479f61f8193cbc1ed858b61e63f33b0.jpg,Рычаг регулировочный передний для автомобилей Камского автозавода Производитель: SORL Артикул SORL: 64700011016 Артикул аналога: 5320-3501136,835,
ПГУ ЗИЛ в сборе 530100-1609510 (БЕЛАК),12787,http://agregatekb.ru/upload/iblock/36d/36d231af9598f2489b68a2de99b02c56.jpg,"Пневмогидравлический усилитель привода сцепления (ПГУ) для автомобилей ЗИЛ Применяемость: автомобили ЗИЛ-5301 и модификации Комплектация: со штоком. Длина штока до центра монтажных отверстий: 100±10 мм. Артикул БелАК: БАК.53010 Аналог: 530100-1609510 Гарантия: 6 месяцев ОПИСАНИЕ ТОВАРА Принцип работы ПГУ ЗИЛ заключается в следующем. Если педаль сцепления не нажата, жидкость в корпусе ПГУ отсутствует, седло выпускного клапана и диафрагма отжаты пружиной, впускной клапан закрыт, а воздух из пневмосистемы не поступает. После нажатия на педаль давление жидкости в гидросистеме возрастает, воздействуя на гидравлический и следящий поршни и передавая усилие на вилку выключения сцепления. Одновременно происходит открытие впускного клапана, через который к поршням подводится воздух, увеличивающий силу давления и суммарно усиливающий эффект. При постоянном нажатии на педаль оба клапана закрыты. После включения сцепления излишки воздуха выпускаются в атмосферу, давление жидкости сбрасывается, а поршни устанавливаются на исходную позицию. Этот товар имеет официальные награды: Узлы и детали сцепления ""БелАК"" удостоились престижной национальной премии ""Автокомпонент года 2018"".",3607,3.3
ПГУ в сборе БАК.05320 (аналог 5320-1609510) (БЕЛАК),12790,http://agregatekb.ru/upload/iblock/0c4/0c46743465b83db814bc4ae8c6077224.jpg,"Пневмогидравлический усилитель привода сцепления (ПГУ) «БелАК» в автомобилях Камского автозавода, МАЗ и других служит для уменьшения усилий водителя по нажатию педали сцепления, что значительно повышает удобство управления автотранспортным средством и, в конечном итоге, способствует более безопасному движению. Технические характеристики: Применяемость: автомобили с коробками передач КПП-14, КПП-15, КПП-142, КПП-152 Комплектация: без штока. Артикул: БАК.05320 Аналог: 5320-1609510 Гарантия: 6 мес. ОПИСАНИЕ ТОВАРА ПГУ сцепления автомобиля состоит из следующих основных элементов: корпусов (передний из чугуна и задний из алюминия); поршней (пневматического, выключения и следящего). Поршень выключения является гидравлическим устройством и изготавливается как единая конструкция с толкателем; редуктора с диафрагмой и клапаном; следящего механизма. Принципы функционирования усилителя: Главным управляющим элементом усилителей сцепления автомобиля является следящее устройство. Его предназначение – автоматически регулировать давление воздуха в системе. Конструктивно следящий механизм включает в себя систему клапанов (впускного и выпускного), диафрагму и следящий поршень. Если педаль сцепления не нажата, жидкость в корпусе ПГУ отсутствует, седло выпускного клапана и диафрагма отжаты пружиной, впускной клапан закрыт, а воздух из пневмосистемы не поступает. После нажатия на педаль давление жидкости в гидросистеме возрастает, воздействуя на гидравлический и следящий поршни и передавая усилие на вилку выключения сцепления. Одновременно происходит открытие впускного клапана, через который к поршням подводится воздух, увеличивающий силу давления и суммарно усиливающий эффект. При постоянном нажатии на педаль оба клапана закрыты. После включения сцепления излишки воздуха выпускаются в атмосферу, давление жидкости сбрасывается, а поршни устанавливаются на исходную позицию. Механика усилителя отрегулирована таким образом, что для нажатия на педаль необходимо приложить усилие всего 15 кгс (150 Н). Важно, что в аварийной ситуации, когда пневматическая система автомобиля вышла из строя, работа со сцеплением всё ещё возможна. Дублирующим органом в данном случае выступает гидравлика механизма ПГУ. Цена вопроса для водителя заключается лишь в увеличении усилия нажатия до 70-90 кгс (700-900 Н). Этот товар имеет официальные награды: Узлы и детали сцепления ""БелАК"" удостоились престижной национальной премии ""Автокомпонент года 2018"".",3200,
"ПГУ 9700511260 (аналог WABCO 16080450060) а/м Камского автозавода -4308, -43253 (SORL)",12792,http://agregatekb.ru/upload/iblock/0aa/0aa855f8961362198615089d62d5ea69.jpg,"ПГУ 9700511260 (аналог WABCO 16080450060) Бренд: SORL Применение: автомобили Камского автозавода мод. -4308, -43253 Аналоги: 9700511260, 42061949, VG3204, 8315038SX, HTFS126, 05196VLT, 202006, BK1300202AS, 68855, 553003, TT0717005, RL1608PQ",6950,
ПГУ 9700514230 на КПП ZF (аналог WABCO) а/м Камского автозавода -6520 и мод. (SORL),12793,http://agregatekb.ru/upload/iblock/c18/c182ca574d54ef7db5aa766808d1ba42.jpg,"ПГУ 9700514230 (16080800090) на КПП ZF (аналог WABCO 970 051 423 0) Бренд: SORL Применение: автомобили Камского автозавода 43253, 6520, 65115, 65117, 65111, 6540, 6460 Аналоги: 9700514230, 1506466, K129596N00, 8315012SX, 2250244 , PRO0510040, 9700514230, 05265VLT, 96111, 68809, 202062, M7100044, HTFS423, 5011423, 614514230, 1923001, CS211",5610,
Осушитель в сборе без ресивера 3511003334 (4324101027) SORL,12800,http://agregatekb.ru/upload/iblock/7a7/7a72474ce6590469f8597a3d6ba56a08.jpg,"Осушитель в сборе без ресивера 3511003334 Бренд: SORL Аналоги: 4324101027, 4324101027, II31477, 2210156, HTLP450250202, M7100950, 303031, 1021221, 910101, VL0201030",3590,
Привод (бендикс) 7157991 стартера Магнетон (АТЭ-1),12867,http://agregatekb.ru/upload/iblock/cbe/cbead52b2623001e346fc8ba747c8b96.jpg,"Привод 7157 991 (АТЭ-1) Стартера Магнетон Характеристики: Длина, м: 0.06 Ширина, м: 0.08 Высота, м: 0.125 Вес, кг: 0.86 Применение: Стартера 9172 780, 9142 780",970,
"280А-1172010-01 ОНВ для ПАЗ-4230, ДГУ на базе двигателя ММЗ Д-245, Д-260",12874,http://agregatekb.ru/upload/iblock/a9b/a9b458e169f63cfb52b4d1ff9c78777c.jpg,"Охладитель наддувочного воздуха алюминиевый паяный, трубчато-ленточный по технологии “Nocolok”,предназначен для охлаждения воздуха, подаваемого турбокомпрессором в систему питания двигателя. Артикул производителя: 280А-1172010-01 Рядность: 1-но рядный Габариты д*ш*в, мм: 639х102х396 Масса, кг: 6 Применяемость: ПАЗ-4230; ДГУ на базе двигателя ММЗ Д-245, Д-260",8847,3.3
"54115А-1301010-11 Радиатор охлаждения алюминиевый 2-х рядный, автомобили Камского автозавода, модели 4308, 4308-А3, 43253, 43255, 5308, 53082 с двигателем Cummins (ШААЗ)",12880,http://agregatekb.ru/upload/iblock/fcb/fcba077ff7c059f6208d81b5490ee126.jpg,"Наименование: 54115А-1301010-11 Технология изготовления: NOCOLOK Исполнение: алюминиевое Конструкция: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 151 (130000) Емкость, л: 6.7 Габариты (д*ш*в), мм: 742х91х831 Масса, кг: 16.5 Применение: автомобили Камского автозавода, модели 4308, 4308-А3, 43253, 43255, 5308, 53082 с двигателем Cummins Дополнительно: -4308 дв. Cummins 4ISBe 185, 4ISBe4 185, 6ISBe 210, 6ISBe 245 -4308 автобус дв. Cummins 6ISBe4 210В -5308 дв. Cummins 6ISBe 285 -43253, 43255 дв. Cummins 4ISBe 185, 4ISBe4 185, 6ISBe 210 -65115 дв. Cummins 6ISBe 285 -4308, 5308, 53082 дв. Cummins 6ISBe4 245 -43253, 43255, 4308-А3 дв. Cummins 6ISBe 210…285",17257,3.19
"4320Б5А-1301010 Радиатор охлаждения 2-х рядный алюминиевый Урал 4320-4151-78, 43206-4151-79 дв. 536.02-10 (ШААЗ)",12881,http://agregatekb.ru/upload/iblock/e12/e12d04c66a02b46f9a57838ba45ee5c3.jpg,"Заводское наименование: 4320Б5А-1301010 Технология изготовления: NOCOLOK Исполнение радиатора: алюминиевое Конструкция сердцевины: трубчато-ленточная Рядность: 2 ряда Теплоотдача, кВт (ккал/ч): 178 (152990) Емкость, л: 8.6 Габариты (д*ш*в), мм: 770х158х967 Масса, кг: 21.2 Применение: автомобили УРАЛ 4320-4151-78, 43206-4151-79 с двигателем ЯМЗ 53602-10",28633,
"Генератор Г288-3701000 а/м Камского автозавода -4310 с двиг. 740.10 и их модиф., а/м КрАЗ с двиг. ЯМЗ-238 и их модиф. (АТЭ-1)",12890,http://agregatekb.ru/upload/iblock/e66/e66e7d82d642e30ab57b538dedbfa032.png,"Генератор Г288-3701000 а/м Камского автозавода -4310 с двиг. 740.10 и их модиф., а/м КрАЗ с двиг. ЯМЗ-238 и их модиф. (АТЭ-1) Характеристики: Длина: 0.23 м Ширина: 0.21 м Высота: 0.19 м Вес: 9.18 кг Объем: 0.009177 кг.",6740,
ВТ-90ДЭ.1301.100 Радиатор водяной Трактор Агромаш 90ТГ,12986,http://agregatekb.ru/upload/iblock/033/0330ed39795168b958710f5adff367c4.jpg,"Радиатор охлаждения ВТ-90ДЭ.1301.100 Применяемость: трактор Агромаш 90ТГ Исполнение: медно-латунный, 4-рядный Габаритные размеры общие В*Ш*Т,мм: 947*747*404 Размеры сердцевины В*Ш*Т,мм: 630*600*93 Производитель: Оренбургский радиатор",48150,
"4320Я5А-1301010 Радиатор охлаждения алюм. 2-х рядный, УРАЛ-55571-1121-70,4320-70,4320-71 с дв.536.02-10 (ШААЗ)",12987,http://agregatekb.ru/upload/iblock/cd8/cd8a09fc16a8e73ce2897b1a76b92cb9.jpg,"Артикул: 4320Я5А-1301010 Технология изготовления радиатора: NOCOLOK Исполнение: алюминиевое Конструкция сердцевины: трубчато-ленточная Рядность: 2 Теплоотдача, кВт (ккал/ч): 162 (139295) Емкость, л: 7.3 Габариты (д*ш*в), мм: 692х143х990 Масса, кг: 18.7 Применение: а/м УРАЛ-55571-1121-70, -4320-70, -4320-71 с двигателем ЯМЗ 53602-10",27891,3.2
"Домкрат 10 тонн (выс.200, шток 80, винт 60) БЕЛАК",12991,http://agregatekb.ru/upload/iblock/f81/f81ac8046e287eb57a828443e8277101.png,"Домкрат 10 тонн (выс.200, шток 80, винт 60) БЕЛАК",1270,
"Р6520-1301010-01 (6520 Р-1301010-01) Радиатор водяной медно-латунный 4-х рядный, а/м Камского автозавода мод. -6520 (ШААЗ)",13033,http://agregatekb.ru/upload/iblock/c90/c9062ea9f699cf91510c919a6776f317.jpg,"Наименование: Р6520-1301010-01 Технология изготовления: традиционная Исполнение: медно-латунное Конструкция: трубчато-ленточная Рядность: 4 Габариты (д*ш*в), мм: 738х165х1045 Масса, кг: 33.7 Применяемость: а/м Камского автозавода, модель -6520 и ее модификации",45473,3.3
"330242А-1301010-10 Радиатор алюминиевый системы охлаждения 2-х рядный для ГАЗ-3302 ""ГАЗель"", технология SOFICO (ШААЗ)",13034,http://agregatekb.ru/upload/iblock/667/667d86e3cd55dde9f87a5a62a1cd0c0a.jpg,"Артикул: 330242А -1301010-10 Радиатор системы охлаждения алюминиевый сборный, трубчато-пластинчатый по технологии SOFICO Рядность 2-х рядный Габариты (д*ш*в), мм: 648х101,5х440 Масса, кг: 4 Применяемость: ГАЗель с 2008г. с двигателем ЗМЗ 4063, УМЗ 4216; ГАЗель до 2008г. с двигателем УМЗ 4215; ГАЗель с 1999г.",2678,2.84
Турбокомпрессор К27-115-02 (левый) а/м Камского автозавода ЕВРО-1 с двигателем 740.14-300 (CZ Strakonice),13043,http://agregatekb.ru/upload/iblock/8b9/8b935d3947d54870bdc041a687c08440.jpg,Турбокомпрессор К27-115-02 (левый) а/м Камского автозавода ЕВРО-1 с двигателем 740.14-300 (CZ Strakonice),20127,3.3
"Генератор 5318121 ( 5272666) АМ ГАЗ -3302, ФОТОН , Cummins ISF 2.8 (14V/120A) (контакты-болты",13045,http://agregatekb.ru/upload/iblock/2a6/2a612e62e9df8c35f914464cc4439cdd.jpg,"Генератор 5318121 ( 5272666) АМ ГАЗ -3302, ФОТОН , Cummins ISF 2.8 (14V/120A) (контакты-болты",5500,
"Турбокомпрессор С14-127 для а/м ЗИЛ-5301 ""Бычок"" с дв. Д-245.12, 12С 100160127",13059,http://agregatekb.ru/upload/iblock/6de/6de08681699c6eb9540ea306393a2767.jpg,"Турбокомпрессор С14-127 для а/м ЗИЛ-5301 ""Бычок"" с дв. Д-245.12, 12С Аналог: 100160127",12840,
"Турбокомпрессор К27-115-01 правый для а/м Камского автозавода Евро-1 с двиг. 740.11-240, 740.13-260 (CZ Strakonice)",13064,http://agregatekb.ru/upload/iblock/393/393c23ff4944d3dbfefe086cdc8aea2d.jpg,"Турбокомпрессор К27-115-01 правый для а/м Камского автозавода Евро-1 с двиг. 740.11-240, 740.13-260 (CZ Strakonice)",20127,3.3
"Диск ведомый муфты сцепления Т150.21.024-2 (400мм) для Т-150, СМД-60 (Автомагнат)",13076,http://agregatekb.ru/upload/iblock/99e/99e30cb71278df6a67674d9a23829cf2.jpg,"Диск ведомый муфты сцепления для Т-150, СМД-60 Артикул: Т150.21.024-2 Диаметр, мм.: 400 мм. Вес, кг.: 6,39 Производитель: Автомагнат",1720,
